,Richness,Groups
ERR198655.fastq.gz,104,Control
ERR198659.fastq.gz,97,Nano
ERR198660.fastq.gz,74,Nano
ERR198661.fastq.gz,72,Nano
ERR198663.fastq.gz,74,Nano
ERR198665.fastq.gz,67,Nano
ERR198666.fastq.gz,110,Control
ERR198667.fastq.gz,73,Control
ERR198668.fastq.gz,80,Control
ERR198670.fastq.gz,101,Nano
ERR198672.fastq.gz,87,Nano
ERR198673.fastq.gz,73,Nano
ERR198674.fastq.gz,114,Nano
ERR198675.fastq.gz,112,Nano
ERR198676.fastq.gz,83,Nano
ERR1333734,5,Control
ERR1333735,4,Control
ERR1333736,4,Control
ERR1333737,8,Control
ERR1333738,4,Control
ERR1333740,3,Control
ERR1333744,10,Control
ERR1333745,8,Control
ERR1333746,6,Control
ERR1333747,10,Control
ERR1333749,4,Control
ERR1333751,4,Control
ERR1333752,11,Nano
ERR1333753,5,Nano
ERR1333754,8,Nano
ERR1333755,5,Nano
ERR1333757,5,Nano
ERR1333759,6,Nano
ERR1333760,11,Nano
ERR1333761,7,Nano
ERR1333763,4,Nano
SRR1661500.fastq.gz,231,Nano
SRR1663131.fastq.gz,206,Control
SRR2062393,32,Nano
SRR2062396,38,Nano
SRR2062397,41,Nano
SRR2062400,31,Nano
SRR2062410,28,Nano
SRR2079284,113,Control
SRR2079285,115,Nano
SRR2079286,121,Nano
SRR2079288,128,Nano
SRR2079289,96,Nano
SRR2976389.fastq.gz,200,Nano
SRR2976533.fastq.gz,195,Control
SRR7079074,21,Control
SRR7079078,19,Nano
SRR7079080,33,Nano
SRR7079084,37,Control
SRR7079086,24,Nano
SRR7079088,34,Nano
SRR7079090,12,Control
SRR7079101,27,Nano
SRR7079103,33,Control
SRR7079105,30,Nano
SRR7079107,35,Nano
SRR7079110,31,Nano
SRR7079125,40,Control
SRR7079127,23,Nano
SRR7079129,42,Nano
SRR7079131,29,Nano
SRR7079133,40,Control
SRR7079144,25,Control
SRR7079146,25,Nano
SRR7079148,34,Nano
SRR7079150,23,Control
SRR7079152,22,Nano
SRR7079165,34,Nano
SRR7079167,24,Nano
SRR7079171,34,Nano
SRR7079173,48,Nano
SRR7079174,27,Control
SRR7079176,26,Nano
SRR7079177,42,Control
SRR7079178,38,Nano
SRR7079180,30,Nano
SRR7079195,45,Nano
SRR7079197,42,Control
SRR7079203,34,Control
SRR7079206,38,Nano
SRR7079210,23,Control
SRR7079212,21,Nano
SRR7079215,22,Control
SRR7079217,16,Nano
SRR7079219,25,Nano
SRR7079225,38,Nano
SRR7079227,25,Control
SRR7079229,17,Nano
SRR7079233,17,Nano
SRR7079236,17,Control
SRR7079238,26,Nano
SRR7079244,22,Nano
SRR7079246,27,Nano
SRR7878583,112,Nano
SRR7878584,94,Control
SRR7878585,92,Control
SRR7878586,106,Control
SRR7878587,104,Nano
SRR7878588,97,Nano
SRR7878589,115,Nano
SRR7878590,94,Nano
SRR7878591,98,Nano
SRR7878592,88,Nano
SRR7878593,88,Nano
SRR7878594,73,Nano
SRR7878595,74,Nano
SRR7878596,77,Nano
SRR7878597,74,Control
SRR7878598,88,Nano
SRR7878599,98,Control
SRR7878600,84,Control
SRR7878601,77,Nano
SRR7878602,86,Nano
SRR7878603,109,Nano
SRR7878604,86,Nano
SRR7878605,78,Nano
SRR7878606,105,Nano
SRR7878607,80,Control
SRR7878608,125,Nano
SRR7878609,107,Control
SRR7878610,87,Control
SRR7878611,80,Nano
SRR7878612,89,Nano
SRR7878613,96,Nano
SRR7878614,88,Nano
SRR7878615,99,Nano
SRR7878616,94,Nano
SRR7878617,92,Nano
SRR7878618,94,Nano
SRR10129842,68,Control
SRR10129844,68,Control
SRR10129849,96,Control
SRR10129851,72,Control
SRR10129857,61,Control
SRR10129858,120,Nano
SRR10129860,85,Control
SRR10129862,37,Nano
SRR10129866,38,Nano
SRR10129868,45,Nano
SRR10129871,52,Nano
SRR10129873,59,Nano
SRR10129875,35,Nano
SRR10129877,47,Nano
SRR10129879,44,Nano
SRR10129882,54,Nano
SRR10129884,56,Nano
SRR10129886,41,Nano
SRR10129890,72,Nano
SRR10129893,52,Nano
SRR10129897,65,Control
SRR10129899,57,Control
SRR10129901,95,Control
SRR10129902,36,Nano
SRR10129904,69,Control
SRR10129906,71,Control
SRR10129908,72,Control
SRR10129910,72,Control
SRR10129912,73,Control
SRR10129915,42,Nano
SRR10129919,45,Nano
SRR10129921,43,Nano
SRR10129924,67,Nano
SRR10129926,56,Nano
SRR10129928,36,Nano
SRR10129930,45,Nano
SRR10129932,49,Nano
SRR10129936,40,Nano
SRR12506057,53,Control
SRR12506058,77,Control
SRR12506059,59,Control
SRR12506060,65,Control
SRR12506061,41,Nano
SRR12506062,50,Nano
SRR12506063,52,Nano
SRR12506064,57,Nano
SRR12506065,50,Nano
SRR12506066,57,Nano
SRR12506067,54,Nano
SRR12506068,56,Nano
SRR12506069,49,Nano
SRR12506070,47,Nano
SRR12506071,49,Nano
SRR12506072,73,Nano
SRR12506073,49,Nano
SRR12506074,49,Nano
SRR12506075,41,Nano
SRR12506076,43,Nano
SRR12506077,43,Control
SRR12506078,42,Control
SRR12506079,36,Control
SRR12506080,62,Control
SRR12506081,42,Control
SRR12506082,50,Control
SRR12506083,48,Control
SRR12506084,32,Control
SRR12506085,65,Nano
SRR12506086,37,Nano
SRR8781896,85,Control
SRR8781897,87,Control
SRR8781898,56,Control
SRR8781899,161,Control
SRR8781900,232,Control
SRR8781901,245,Control
SRR8781902,209,Control
SRR8781903,162,Control
SRR8781904,181,Control
SRR8781905,203,Nano
SRR8781906,208,Nano
SRR8781907,154,Control
SRR8781908,145,Control
SRR8781909,168,Nano
SRR8781911,212,Control
SRR8781912,190,Control
SRR8781915,90,Nano
SRR8781917,48,Nano
SRR8781919,61,Nano
SRR8781920,13,Nano
SRR8781921,161,Nano
SRR8781922,139,Nano
SRR8781923,164,Control
SRR8781924,186,Control
SRR8781925,185,Control
SRR8781926,69,Control
SRR8781927,45,Control
SRR8781928,12,Control
SRR8781929,169,Nano
SRR8781930,174,Nano
SRR8781931,217,Control
SRR8781932,30,Nano
SRR8781933,21,Nano
SRR8781934,43,Nano
SRR8781935,36,Nano
SRR8781936,51,Control
SRR8781937,29,Control
SRR8781938,33,Control
SRR8781940,173,Control
SRR8781942,155,Nano
SRR8781943,208,Nano
SRR8781944,139,Nano
SRR8781945,181,Nano
SRR8781946,162,Nano
SRR8781947,124,Nano
SRR8781948,181,Nano
SRR8781949,202,Nano
SRR8781950,84,Nano
SRR8781951,105,Nano
SRR8781952,224,Nano
SRR8781953,49,Control
SRR8781954,64,Control
SRR8781955,191,Control
SRR8781956,52,Control
SRR8781957,32,Control
SRR8781958,77,Control
SRR8781959,71,Control
SRR9323340,45,Nano
SRR9323342,34,Nano
SRR9323343,50,Nano
SRR9323344,51,Nano
SRR9323345,54,Nano
SRR9323346,32,Nano
SRR9323347,40,Nano
SRR9323348,44,Nano
SRR9323349,57,Nano
SRR9323350,59,Nano
SRR9323351,32,Nano
SRR9323352,36,Nano
SRR9323354,39,Control
SRR9323355,33,Control
SRR9323356,29,Nano
SRR9323357,41,Nano
SRR9323358,41,Control
SRR9323359,56,Control
SRR9323360,57,Control
SRR9323361,48,Control
SRR9323362,34,Nano
SRR9323363,29,Nano
SRR9323364,39,Nano
SRR9323365,31,Nano
SRR9323366,36,Nano
SRR9323367,41,Nano
SRR9323368,48,Nano
SRR9323369,49,Nano
SRR9323370,41,Nano
SRR9323371,25,Nano
SRR9323372,40,Nano
SRR9323373,29,Nano
SRR9323374,50,Control
SRR9323375,49,Control
SRR9323376,39,Control
SRR9323377,68,Control
SRR9323378,18,Nano
SRR9323379,29,Nano
SRR9323380,25,Nano
SRR9323381,35,Nano
SRR9323382,35,Nano
SRR9323383,26,Nano
SRR9323384,42,Control
SRR9323385,28,Nano
SRR9323386,42,Nano
SRR9323387,27,Nano
SRR9323388,50,Nano
SRR9323389,30,Nano
SRR9323390,46,Nano
SRR9323391,38,Nano
SRR9323392,37,Nano
SRR9323393,37,Nano
SRR9323394,69,Nano
SRR9323395,37,Nano
SRR9323396,29,Nano
SRR9323397,31,Nano
