,Shannon,Groups
ERR198655.fastq.gz,4.00033095,Control
ERR198659.fastq.gz,3.771413566,Nano
ERR198660.fastq.gz,3.614297837,Nano
ERR198661.fastq.gz,3.3344769,Nano
ERR198663.fastq.gz,3.76424677,Nano
ERR198665.fastq.gz,3.567192972,Nano
ERR198666.fastq.gz,4.085652684,Control
ERR198667.fastq.gz,3.62645747,Control
ERR198668.fastq.gz,3.79694446,Control
ERR198670.fastq.gz,4.022354102,Nano
ERR198672.fastq.gz,3.617987088,Nano
ERR198673.fastq.gz,3.6826262,Nano
ERR198674.fastq.gz,4.058703707,Nano
ERR198675.fastq.gz,4.01311994,Nano
ERR198676.fastq.gz,3.85423637,Nano
ERR1333734,1.523020207,Control
ERR1333735,0.566868976,Control
ERR1333736,1.148561601,Control
ERR1333737,1.37970083,Control
ERR1333738,1.095066016,Control
ERR1333740,0.992765312,Control
ERR1333744,1.712545711,Control
ERR1333745,1.538579323,Control
ERR1333746,1.398050784,Control
ERR1333747,1.134737185,Control
ERR1333749,1.041828391,Control
ERR1333751,1.08442051,Control
ERR1333752,1.916854109,Nano
ERR1333753,0.992774411,Nano
ERR1333754,1.585600111,Nano
ERR1333755,1.039061778,Nano
ERR1333757,1.177745153,Nano
ERR1333759,1.037053119,Nano
ERR1333760,1.758168927,Nano
ERR1333761,1.200260511,Nano
ERR1333763,1.12048109,Nano
SRR1661500.fastq.gz,4.574685298,Nano
SRR1663131.fastq.gz,4.333995584,Control
SRR2062393,2.936104863,Nano
SRR2062396,3.262662927,Nano
SRR2062397,3.283996701,Nano
SRR2062400,3.076998674,Nano
SRR2062410,2.894904381,Nano
SRR2079284,4.346511143,Control
SRR2079285,4.237103459,Nano
SRR2079286,4.218029245,Nano
SRR2079288,4.387113684,Nano
SRR2079289,4.083466106,Nano
SRR2976389.fastq.gz,4.549869625,Nano
SRR2976533.fastq.gz,4.577785709,Control
SRR7079074,2.775648315,Control
SRR7079078,2.70534627,Nano
SRR7079080,3.203965046,Nano
SRR7079084,3.320449089,Control
SRR7079086,2.231349981,Nano
SRR7079088,3.059477293,Nano
SRR7079090,2.318210903,Control
SRR7079101,3.014735742,Nano
SRR7079103,3.156466448,Control
SRR7079105,3.076597625,Nano
SRR7079107,3.129666902,Nano
SRR7079110,3.175486472,Nano
SRR7079125,3.398776489,Control
SRR7079127,2.934045177,Nano
SRR7079129,3.327019657,Nano
SRR7079131,3.095276866,Nano
SRR7079133,3.287186048,Control
SRR7079144,2.863633277,Control
SRR7079146,2.774708216,Nano
SRR7079148,3.063384754,Nano
SRR7079150,2.972885262,Control
SRR7079152,2.907759385,Nano
SRR7079165,3.085589414,Nano
SRR7079167,2.682704682,Nano
SRR7079171,3.03780571,Nano
SRR7079173,3.160781944,Nano
SRR7079174,2.922130899,Control
SRR7079176,2.693126929,Nano
SRR7079177,3.458289494,Control
SRR7079178,3.272976999,Nano
SRR7079180,3.074501393,Nano
SRR7079195,3.455936205,Nano
SRR7079197,3.390454819,Control
SRR7079203,3.209327546,Control
SRR7079206,3.370266567,Nano
SRR7079210,2.790498802,Control
SRR7079212,2.587859855,Nano
SRR7079215,2.871579419,Control
SRR7079217,2.40923464,Nano
SRR7079219,2.847597131,Nano
SRR7079225,3.32155904,Nano
SRR7079227,2.786099119,Control
SRR7079229,2.571266464,Nano
SRR7079233,2.420585362,Nano
SRR7079236,2.397808799,Control
SRR7079238,2.985946747,Nano
SRR7079244,2.63868077,Nano
SRR7079246,2.959294434,Nano
SRR7878583,4.29618286,Nano
SRR7878584,4.143131603,Control
SRR7878585,4.060808617,Control
SRR7878586,4.301058508,Control
SRR7878587,4.237775551,Nano
SRR7878588,4.233526758,Nano
SRR7878589,4.407020893,Nano
SRR7878590,4.089839789,Nano
SRR7878591,4.177998742,Nano
SRR7878592,4.103231221,Nano
SRR7878593,4.083531221,Nano
SRR7878594,3.984171247,Nano
SRR7878595,3.806084579,Nano
SRR7878596,3.892347134,Nano
SRR7878597,3.9117896,Control
SRR7878598,4.030695611,Nano
SRR7878599,4.17935192,Control
SRR7878600,4.036058021,Control
SRR7878601,4.067328713,Nano
SRR7878602,3.993132213,Nano
SRR7878603,4.324844815,Nano
SRR7878604,3.989210426,Nano
SRR7878605,4.022928842,Nano
SRR7878606,4.246344562,Nano
SRR7878607,4.020093159,Control
SRR7878608,4.432236018,Nano
SRR7878609,4.287022011,Control
SRR7878610,4.067867252,Control
SRR7878611,4.018616148,Nano
SRR7878612,4.16859474,Nano
