names	group
ERR198655.fastq.gz	Control
ERR198656.fastq.gz	Control
ERR198657.fastq.gz	Nano
ERR198658.fastq.gz	Nano
ERR198659.fastq.gz	Nano
ERR198660.fastq.gz	Nano
ERR198661.fastq.gz	Nano
ERR198662.fastq.gz	Nano
ERR198663.fastq.gz	Nano
ERR198664.fastq.gz	Nano
ERR198665.fastq.gz	Nano
ERR198666.fastq.gz	Control
ERR198667.fastq.gz	Control
ERR198668.fastq.gz	Control
ERR198669.fastq.gz	Nano
ERR198670.fastq.gz	Nano
ERR198671.fastq.gz	Nano
ERR198672.fastq.gz	Nano
ERR198673.fastq.gz	Nano
ERR198674.fastq.gz	Nano
ERR198675.fastq.gz	Nano
ERR198676.fastq.gz	Nano
ERR1333731	Control
ERR1333732	Control
ERR1333733	Control
ERR1333734	Control
ERR1333735	Control
ERR1333736	Control
ERR1333737	Control
ERR1333738	Control
ERR1333740	Control
ERR1333741	Control
ERR1333742	Control
ERR1333743	Control
ERR1333744	Control
ERR1333745	Control
ERR1333746	Control
ERR1333747	Control
ERR1333748	Control
ERR1333749	Control
ERR1333751	Control
ERR1333752	Nano
ERR1333753	Nano
ERR1333754	Nano
ERR1333755	Nano
ERR1333757	Nano
ERR1333758	Nano
ERR1333759	Nano
ERR1333760	Nano
ERR1333761	Nano
ERR1333762	Nano
ERR1333763	Nano
SRR1661500.fastq.gz	Nano
SRR1663131.fastq.gz	Control
SRR2062391	Control
SRR2062393	Nano
SRR2062394	Control
SRR2062396	Nano
SRR2062397	Nano
SRR2062399	Control
SRR2062400	Nano
SRR2062401	Control
SRR2062402	Control
SRR2062403	Control
SRR2062404	Control
SRR2062405	Control
SRR2062406	Control
SRR2062407	Control
SRR2062409	Nano
SRR2062410	Nano
SRR2062411	Nano
SRR2062412	Nano
SRR2062413	Nano
SRR2062416	Nano
SRR2062417	Nano
SRR2062418	Nano
SRR2062419	Nano
SRR2062423	Nano
SRR2062424	Nano
SRR2062425	Nano
SRR2062426	Nano
SRR2062427	Nano
SRR2062428	Nano
SRR2062430	Nano
SRR2062431	Nano
SRR2062432	Nano
SRR2062434	Nano
SRR2079284	Control
SRR2079285	Nano
SRR2079286	Nano
SRR2079288	Nano
SRR2079289	Nano
SRR7079074	Control
SRR7079076	Nano
