	from	to
1	AromaticCompoundDegradation	3HYDROXYPHENYLACETATEDEGRADATIONPWY
2	Glycolysis	ANAGLYCOLYSISPWY
3	AminoAcidDegradationD	ARGDEGPWY
4	AminoAcidDegradationB	ARGSYNPWY
5	AromaticCompoundBiosynthesis	AROPWY
6	AminoAcidDegradationB	ASPASNPWY
7	AminoAcidDegradationB	BRANCHEDCHAINAASYNPWY
8	CarbohydrateBiosynthesis	CALVINPWY
9	"Cofactor,Carrier,andVitaminBiosynthesis"	COAPWY
10	CarbohydrateBiosynthesis	COLANSYNPWY
11	AminoAcidDegradationB	COMPLETEAROPWY
12	AminoAcidDegradationB	DAPLYSINESYNPWY
13	CarbohydrateBiosynthesis	DTDPRHAMSYNPWY
14	FattyAcidandLipidDegradation	FAOPWY
15	"Cofactor,Carrier,andVitaminBiosynthesis"	FOLSYNPWY
16	unknown1	GALACTGLUCUROCATPWY
17	CarboxylateDegradation	GALACTARDEGPWY
18	AromaticCompoundDegradation	GALLATEDEGRADATIONIPWY
19	AromaticCompoundDegradation	GALLATEDEGRADATIONIIPWY
20	CarboxylateDegradation	GLUCARDEGPWY
21	unknown2	GLUCARGALACTSUPERPWY
22	CarbohydrateDegradation	GLUCOSE1PMETABPWY
23	CarboxylateDegradation	GLUCUROCATPWY
24	AminoAcidDegradationB	GLUTORNPWY
25	CarbohydrateDegradation	GLYCOCATPWY
26	CarbohydrateBiosynthesis	GLYCOGENSYNTHPWY
27	Glycolysis	GLYCOLYSIS
28	unknown3	GLYCOLYSISED
29	unknown4	GLYCOLYSISTCAGLYOXBYPASS
30	unknown5	GLYOXYLATEBYPASS
31	"Cofactor,Carrier,andVitaminBiosynthesis"	HEMEBIOSYNTHESISII
32	AminoAcidDegradationD	HISDEGPWY
33	AminoAcidDegradationB	HISTSYNPWY
34	AminoAcidDegradationB	HSERMETANAPWY
35	CarboxylateDegradation	KETOGLUCONMETPWY
36	AminoAcidDegradationD	LEUDEG2PWY
37	AromaticCompound	METHYLGALLATEDEGRADATIONPWY
38	"Cofactor,Carrier,andVitaminBiosynthesis"	NADBIOSYNTHESISII
39	CellStructureBiosynthesis	NAGLIPASYNPWY
40	SecondaryMetaboliteBiosynthesis	NONMEVIPPPWY
41	Pentose	NONOXIPENTPWY
42	AminoAcidDegradationD	ORNARGDEGPWY
43	AmineandPolyamineDegradation	ORNDEGPWY
44	TCAcycle	P105PWY
45	Fermentation	P108PWY
46	Fermentation	P124PWY
47	OtherBiosynthesis	P125PWY
48	AromaticCompoundDegradation	P184PWY
49	AromaticCompoundDegradation	P281PWY
50	AminoAcidDegradationB	P4PWY
51	Degradation/Utilization/AssimilationOther	P621PWY
52	PentosePhosphatePathways	PENTOSEPPWY
53	CellStructureBiosynthesis	PEPTIDOGLYCANSYNPWY
54	FattyAcidandLipidBiosynthesis	PHOSLIPSYNPWY
55	PolyprenylBiosynthesis	POLYISOPRENSYNPWY
56	MetabolicRegulatorBiosynthesis	PPGPPMETPWY
57	AromaticCompoundDegradation	PROTOCATECHUATEORTHOCLEAVAGEPWY
58	CarbohydrateBiosynthesis	PWY1269
59	AromaticCompoundDegradation	PWY1361
60	AromaticCompoundDegradation	PWY1501
61	AminoAcidDegradationB	PWY2942
62	AminoAcidDegradationB	PWY3001
63	ElectronTransferChains	PWY3781
64	AmineandPolyamineDegradation	PWY4722
65	AminoAcidDegradationD	PWY5028
66	AminoAcidDegradationB	PWY5097
67	AminoAcidDegradationB	PWY5103
68	unknown6	PWY5121
69	AromaticCompoundDegradation	PWY5178
70	AromaticCompoundDegradation	PWY5180
71	AromaticCompoundDegradation	PWY5181
72	AromaticCompoundDegradation	PWY5182
73	AromaticCompoundDegradation	PWY5183
74	TetrapyrroleBiosynthesis	PWY5188
75	TetrapyrroleBiosynthesis	PWY5189
76	CarbohydrateDegradation	PWY5384
77	AromaticCompoundDegradation	PWY5419
78	AromaticCompoundDegradation	PWY5420
79	AromaticCompoundDegradation	PWY5430
80	PolyprenylBiosynthesis	PWY5505
81	"Cofactor,Carrier,andVitaminBiosynthesis"	PWY5509
82	CarboxylateDegradation	PWY5654
83	CarbohydrateBiosynthesis	PWY5659
84	FattyAcidandLipidBiosynthesis	PWY5667
85	NucleosideandNucleotideBiosynthesis	PWY5686
86	C1CompoundUtilizationandAssimilation	PWY5743
87	C1CompoundUtilizationandAssimilation	PWY5744
88	CarboxylateDegradation	PWY5747
89	"Cofactor,Carrier,andVitaminBiosynthesis"	PWY5855
90	"Cofactor,Carrier,andVitaminBiosynthesis"	PWY5856
91	"Cofactor,Carrier,andVitaminBiosynthesis"	PWY5857
92	TCAcycle	PWY5913
93	CarbohydrateDegradation	PWY5941
94	FattyAcidandLipidBiosynthesis	PWY5971
95	FattyAcidandLipidBiosynthesis	PWY5973
96	FattyAcidandLipidBiosynthesis	PWY5989
97	AmineandPolyamineDegradation	PWY6071
98	AromaticCompoundDegradation	PWY6107
99	NucleosideandNucleotideBiosynthesis	PWY6121
100	NucleosideandNucleotideBiosynthesis	PWY6122
101	NucleosideandNucleotideBiosynthesis	PWY6123
102	NucleosideandNucleotideBiosynthesis	PWY6125
103	NucleosideandNucleotideBiosynthesis	PWY6126
104	"Cofactor,Carrier,andVitaminBiosynthesis"	PWY6147
105	"Cofactor,Carrier,andVitaminBiosynthesis"	PWY6151
106	AromaticCompoundBiosynthesis	PWY6163
107	AromaticCompoundDegradation	PWY6182
108	AromaticCompoundDegradation	PWY6185
109	AromaticCompoundDegradation	PWY6210
110	"Cofactor,Carrier,andVitaminBiosynthesis"	PWY6263
111	"Cofactor,Carrier,andVitaminBiosynthesis"	PWY6269
112	NucleosideandNucleotideBiosynthesis	PWY6277
113	CarbohydrateDegradation	PWY6317
114	AromaticCompoundDegradation	PWY6338
115	AromaticCompoundDegradation	PWY6339
116	CellStructureBiosynthesis	PWY6387
117	OtherBiosynthesis	PWY6396
118	CellStructureBiosynthesis	PWY6467
119	CarbohydrateBiosynthesis	PWY6478
120	OtherBiosynthesis	PWY6519
121	Fermentation	PWY6588
122	NucleosideandNucleotideDegradation	PWY6608
123	NucleosideandNucleotideBiosynthesis	PWY6609
124	"Cofactor,Carrier,andVitaminBiosynthesis"	PWY6612
125	AminoAcidDegradationB	PWY6628
126	AminoAcidDegradationB	PWY6630
127	InorganicNutrientMetabolism	PWY6641
128	NucleicAcidProcessing	PWY6700
129	"Cofactor,Carrier,andVitaminBiosynthesis"	PWY6708
130	CarbohydrateDegradation	PWY6737
131	unknown7	PWY6876
132	"Cofactor,Carrier,andVitaminBiosynthesis"	PWY6892
133	"Cofactor,Carrier,andVitaminBiosynthesis"	PWY6897
134	AromaticCompoundDegradation	PWY6957
135	TCAcycle	PWY6969
136	CarbohydrateDegradation	PWY6992
137	C1CompoundUtilizationandAssimilation	PWY7024
138	FattyAcidandLipidBiosynthesis	PWY7094
139	AromaticCompoundDegradation	PWY7097
140	AromaticCompoundDegradation	PWY7098
141	NucleosideandNucleotideBiosynthesis	PWY7196
142	NucleosideandNucleotideBiosynthesis	PWY7197
143	NucleosideandNucleotideBiosynthesis	PWY7208
144	NucleosideandNucleotideBiosynthesis	PWY7219
145	AromaticCompoundDegradation	PWY722
146	NucleosideandNucleotideBiosynthesis	PWY7220
147	NucleosideandNucleotideBiosynthesis	PWY7221
148	NucleosideandNucleotideBiosynthesis	PWY7222
149	NucleosideandNucleotideBiosynthesis	PWY7228
150	NucleosideandNucleotideBiosynthesis	PWY7229
151	TCAcycle	PWY7254
152	CarbohydrateBiosynthesis	PWY7315
153	CarbohydrateBiosynthesis	PWY7328
154	"Cofactor,Carrier,andVitaminBiosynthesis"	PWY7371
155	"Cofactor,Carrier,andVitaminBiosynthesis"	PWY7374
156	"Cofactor,Carrier,andVitaminBiosynthesis"	PWY7376
157	SecondaryMetaboliteBiosynthesis	PWY7392
158	AminoAcidDegradationB	PWY7400
159	AmineandPolyamineDegradation	PWY7431
160	CarbohydrateDegradation	PWY7456
161	"Cofactor,Carrier,andVitaminBiosynthesis"	PWY7539
162	SecondaryMetaboliteBiosynthesis	PWY7560
163	NucleosideandNucleotideBiosynthesis	PWY841
164	AminoAcidDegradationB	PWY01061
165	CarbohydrateBiosynthesis	PWY01241
166	FattyAcidandLipidBiosynthesis	PWY01319
167	CellStructureBiosynthesis	PWY01338
168	"Cofactor,Carrier,andVitaminBiosynthesis"	PWY01415
169	NucleicAcidProcessing	PWY01479
170	NucleosideandNucleotideBiosynthesis	PWY0162
171	NucleosideandNucleotideBiosynthesis	PWY0166
172	AromaticCompoundDegradation	PWY0321
173	CarboxylateDegradation	PWY042
174	unknown8	PWY0781
175	FattyAcidandLipidBiosynthesis	PWY4FS7
176	FattyAcidandLipidBiosynthesis	PWY4FS8
177	"Cofactor,Carrier,andVitaminBiosynthesis"	PYRIDNUCSALPWY
178	"Cofactor,Carrier,andVitaminBiosynthesis"	PYRIDNUCSYNPWY
179	"Cofactor,Carrier,andVitaminBiosynthesis"	RIBOSYN2PWY
180	AminoAcidDegradationB	SERGLYSYNPWY
181	TCAcycle	TCA
182	TCAcycle	TCAGLYOXBYPASS
183	CellStructureBiosynthesis	TEICHOICACIDPWY
184	"Cofactor,Carrier,andVitaminBiosynthesis"	THISYNPWY
185	AminoAcidDegradationB	THRESYNPWY
186	AminoacyltRNACharging	TRNACHARGINGPWY
187	AminoAcidDegradationB	TRPSYNPWY
188	AminoAcidDegradationD	TYRFUMCATPWY
189	"Cofactor,Carrier,andVitaminBiosynthesis"	UBISYNPWY
190	origin	Biosynthesis
191	origin	Degradation/Utilization/Assimilation
192	origin	GenerationPrecursorMetabolitesandEnergy
193	origin	MacromoleculeModification
194	Biosynthesis	AminoAcidDegradationB
195	Biosynthesis	AromaticCompoundBiosynthesis
196	Biosynthesis	CarbohydrateBiosynthesis
197	Biosynthesis	"Cofactor,Carrier,andVitaminBiosynthesis"
198	Biosynthesis	CellStructureBiosynthesis
199	Biosynthesis	SecondaryMetaboliteBiosynthesis
200	Biosynthesis	OtherBiosynthesis
201	Biosynthesis	FattyAcidandLipidBiosynthesis
202	Biosynthesis	PolyprenylBiosynthesis
203	Biosynthesis	MetabolicRegulatorBiosynthesis
204	Biosynthesis	unknown6
205	Biosynthesis	TetrapyrroleBiosynthesis
206	Biosynthesis	NucleosideandNucleotideBiosynthesis
207	Biosynthesis	unknown8
208	Biosynthesis	AminoacyltRNACharging
209	Degradation/Utilization/Assimilation	AromaticCompoundDegradation
210	Degradation/Utilization/Assimilation	AminoAcidDegradationD
211	Degradation/Utilization/Assimilation	FattyAcidandLipidDegradation
212	Degradation/Utilization/Assimilation	unknown1
213	Degradation/Utilization/Assimilation	CarboxylateDegradation
214	Degradation/Utilization/Assimilation	unknown2
215	Degradation/Utilization/Assimilation	CarbohydrateDegradation
216	Degradation/Utilization/Assimilation	AromaticCompound
217	Degradation/Utilization/Assimilation	AmineandPolyamineDegradation
218	Degradation/Utilization/Assimilation	Degradation/Utilization/AssimilationOther
219	Degradation/Utilization/Assimilation	C1CompoundUtilizationandAssimilation
