	name	size	group	shortName
1	3HYDROXYPHENYLACETATEDEGRADATIONPWY	1.190880675	1	3HYDROXYPHENYLACETATEDEGRADATIONPWY
2	ANAGLYCOLYSISPWY	0.946334788	2	ANAGLYCOLYSISPWY
3	ARGDEGPWY	2.431695923	1	ARGDEGPWY
4	ARGSYNPWY	0.934055861	2	ARGSYNPWY
5	AROPWY	0.941612233	2	AROPWY
6	ASPASNPWY	1.276296286	1	ASPASNPWY
7	BRANCHEDCHAINAASYNPWY	0.965650243	2	BRANCHEDCHAINAASYNPWY
8	CALVINPWY	0.954179954	2	CALVINPWY
9	COAPWY	0.947447066	2	COAPWY
10	COLANSYNPWY	0.924852576	2	COLANSYNPWY
11	COMPLETEAROPWY	0.940684596	2	COMPLETEAROPWY
12	DAPLYSINESYNPWY	1.024545818	1	DAPLYSINESYNPWY
13	DTDPRHAMSYNPWY	0.905736009	2	DTDPRHAMSYNPWY
14	FAOPWY	1.087316096	1	FAOPWY
15	FOLSYNPWY	1.02433398	1	FOLSYNPWY
16	GALACTGLUCUROCATPWY	1.368927735	1	GALACTGLUCUROCATPWY
17	GALACTARDEGPWY	1.511037356	1	GALACTARDEGPWY
18	GALLATEDEGRADATIONIPWY	1.917757526	1	GALLATEDEGRADATIONIPWY
19	GALLATEDEGRADATIONIIPWY	2.28074228	1	GALLATEDEGRADATIONIIPWY
20	GLUCARDEGPWY	1.477082541	1	GLUCARDEGPWY
21	GLUCARGALACTSUPERPWY	1.511037356	1	GLUCARGALACTSUPERPWY
22	GLUCOSE1PMETABPWY	1.35794837	1	GLUCOSE1PMETABPWY
23	GLUCUROCATPWY	1.334902134	1	GLUCUROCATPWY
24	GLUTORNPWY	0.947120007	2	GLUTORNPWY
25	GLYCOCATPWY	0.910984419	2	GLYCOCATPWY
26	GLYCOGENSYNTHPWY	0.871493036	2	GLYCOGENSYNTHPWY
27	GLYCOLYSIS	0.965152018	2	GLYCOLYSIS
28	GLYCOLYSISED	1.085440614	1	GLYCOLYSISED
29	GLYCOLYSISTCAGLYOXBYPASS	1.113927812	1	GLYCOLYSISTCAGLYOXBYPASS
30	GLYOXYLATEBYPASS	1.169307055	1	GLYOXYLATEBYPASS
31	HEMEBIOSYNTHESISII	1.058568403	1	HEMEBIOSYNTHESISII
32	HISDEGPWY	1.106882732	1	HISDEGPWY
33	HISTSYNPWY	0.946443022	2	HISTSYNPWY
34	HSERMETANAPWY	1.107952524	1	HSERMETANAPWY
35	KETOGLUCONMETPWY	1.740770299	1	KETOGLUCONMETPWY
36	LEUDEG2PWY	1.193436846	1	LEUDEG2PWY
37	METHYLGALLATEDEGRADATIONPWY	1.847620388	1	METHYLGALLATEDEGRADATIONPWY
38	NADBIOSYNTHESISII	1.226092585	1	NADBIOSYNTHESISII
39	NAGLIPASYNPWY	0.84262426	2	NAGLIPASYNPWY
40	NONMEVIPPPWY	0.948682767	2	NONMEVIPPPWY
41	NONOXIPENTPWY	0.954570135	2	NONOXIPENTPWY
42	ORNARGDEGPWY	2.431695923	1	ORNARGDEGPWY
43	ORNDEGPWY	1.474281648	1	ORNDEGPWY
44	P105PWY	1.105413707	1	P105PWY
45	P108PWY	0.950896399	2	P108PWY
46	P124PWY	1.200718626	1	P124PWY
47	P125PWY	1.270552647	1	P125PWY
48	P184PWY	1.914208173	1	P184PWY
49	P281PWY	1.436165963	1	P281PWY
50	P4PWY	1.082973071	1	P4PWY
51	P621PWY	1.403786879	1	P621PWY
52	PENTOSEPPWY	0.945990881	2	PENTOSEPPWY
53	PEPTIDOGLYCANSYNPWY	0.972561684	2	PEPTIDOGLYCANSYNPWY
54	PHOSLIPSYNPWY	0.941569045	2	PHOSLIPSYNPWY
55	POLYISOPRENSYNPWY	0.941674114	2	POLYISOPRENSYNPWY
56	PPGPPMETPWY	1.322714893	1	PPGPPMETPWY
57	PROTOCATECHUATEORTHOCLEAVAGEPWY	1.247408158	1	PROTOCATECHUATEORTHOCLEAVAGEPWY
58	PWY1269	0.87000294	2	PWY1269
59	PWY1361	1.720819817	1	PWY1361
60	PWY1501	2.184792567	1	PWY1501
61	PWY2942	0.966833998	2	PWY2942
62	PWY3001	0.951085103	2	PWY3001
63	PWY3781	0.936139353	2	PWY3781
64	PWY4722	1.419422835	1	PWY4722
65	PWY5028	1.356675493	1	PWY5028
66	PWY5097	0.964091258	2	PWY5097
67	PWY5103	0.969891874	2	PWY5103
68	PWY5121	0.908634405	2	PWY5121
69	PWY5178	1.893703118	1	PWY5178
70	PWY5180	1.16397167	1	PWY5180
71	PWY5181	1.429733806	1	PWY5181
72	PWY5182	1.16397167	1	PWY5182
73	PWY5183	3.227089932	1	PWY5183
74	PWY5188	0.954894405	2	PWY5188
75	PWY5189	0.943449002	2	PWY5189
76	PWY5384	1.336457112	1	PWY5384
77	PWY5419	1.250477042	1	PWY5419
78	PWY5420	1.255093492	1	PWY5420
79	PWY5430	1.689058378	1	PWY5430
80	PWY5505	0.755816448	2	PWY5505
81	PWY5509	1.150626199	1	PWY5509
82	PWY5654	1.481796874	1	PWY5654
83	PWY5659	0.947954003	2	PWY5659
84	PWY5667	0.937361687	2	PWY5667
85	PWY5686	0.946084304	2	PWY5686
86	PWY5743	0.188870074	2	PWY5743
87	PWY5744	0.208612586	2	PWY5744
88	PWY5747	1.453141927	1	PWY5747
89	PWY5855	1.120697423	1	PWY5855
90	PWY5856	1.120697423	1	PWY5856
91	PWY5857	1.120697423	1	PWY5857
92	PWY5913	0.908290546	2	PWY5913
93	PWY5941	1.31190672	1	PWY5941
94	PWY5971	0.665808849	2	PWY5971
95	PWY5973	0.950163488	2	PWY5973
96	PWY5989	1.097844962	1	PWY5989
97	PWY6071	1.528558861	1	PWY6071
98	PWY6107	1.370072804	1	PWY6107
99	PWY6121	0.965289059	2	PWY6121
100	PWY6122	0.950158104	2	PWY6122
101	PWY6123	0.949995426	2	PWY6123
102	PWY6125	0.953997004	2	PWY6125
103	PWY6126	0.951539704	2	PWY6126
104	PWY6147	1.006457218	1	PWY6147
105	PWY6151	1.157961554	1	PWY6151
106	PWY6163	0.940046624	2	PWY6163
107	PWY6182	1.439430799	1	PWY6182
108	PWY6185	1.531512597	1	PWY6185
109	PWY6210	1.321556719	1	PWY6210
110	PWY6263	0.825178342	2	PWY6263
111	PWY6269	1.15079483	1	PWY6269
112	PWY6277	0.950158104	2	PWY6277
113	PWY6317	0.948309334	2	PWY6317
114	PWY6338	2.295226506	1	PWY6338
115	PWY6339	2.763717097	1	PWY6339
116	PWY6387	0.978007732	2	PWY6387
117	PWY6396	1.309349942	1	PWY6396
118	PWY6467	0.830430802	2	PWY6467
119	PWY6478	0.81657166	2	PWY6478
120	PWY6519	1.112580984	1	PWY6519
121	PWY6588	1.104419399	1	PWY6588
122	PWY6608	0.955294571	2	PWY6608
123	PWY6609	0.944288111	2	PWY6609
124	PWY6612	1.027420693	1	PWY6612
125	PWY6628	1.236115023	1	PWY6628
126	PWY6630	1.232146501	1	PWY6630
127	PWY6641	1.7170258	1	PWY6641
128	PWY6700	0.928952663	2	PWY6700
129	PWY6708	1.120697423	1	PWY6708
130	PWY6737	0.841783257	2	PWY6737
131	PWY6876	1.284517428	1	PWY6876
132	PWY6892	0.672094727	2	PWY6892
133	PWY6897	0.947211858	2	PWY6897
134	PWY6957	3.436226501	1	PWY6957
135	PWY6969	0.995898466	2	PWY6969
136	PWY6992	1.288714224	1	PWY6992
137	PWY7024	0.226567357	2	PWY7024
138	PWY7094	1.106142196	1	PWY7094
139	PWY7097	2.295226506	1	PWY7097
140	PWY7098	2.280593793	1	PWY7098
141	PWY7196	0.953207115	2	PWY7196
142	PWY7197	0.940327349	2	PWY7197
143	PWY7208	0.946020107	2	PWY7208
144	PWY7219	0.952521249	2	PWY7219
145	PWY722	2.10976984	1	PWY722
