Season,Week,Value,label
Heterogeneity,Var1,0.899530252,A
Nanoparticles,Var2,1.197889965,B
Nanoparticles,Var3,1.380305686,C
Nanoparticles,Var4,0.956276165,D
Nanoparticles,Var5,0.419241979,E
Nanoparticles,Var6,0.392955131,F
Nanoparticles,Var7,0.683443292,G
Nanoparticles,Var8,0.801593643,H
Nanoparticles,Var9,0.37037901,I
Nanoparticles,Var10,4.202097253,J
Heterogeneity,Var11,0.825033066,K
Nanoparticles,Var12,2.439412972,L
Nanoparticles,Var13,0.936228784,M
Nanoparticles,Var14,1.36795603,N
Heterogeneity,Var15,11.50999809,O
Heterogeneity,Var16,1.736632353,P
Heterogeneity,Var17,2.242623845,Q
Heterogeneity,Var18,8.630575215,R
Heterogeneity,Var19,35.90037205,S
Heterogeneity,Var20,6.301779362,T
Heterogeneity,Var21,16.80567586,X
